Month,City,Cum_Open_Case
Jan-19,Denver,0
Feb-19,Denver,0
Mar-19,Denver,0
Apr-19,Denver,0
May-19,Denver,0
Jun-19,Denver,0
Jul-19,Denver,0
Aug-19,Denver,0
Sep-19,Denver,0
Oct-19,Denver,0
Nov-19,Denver,0
Dec-19,Denver,0
Jan-20,Denver,0
Feb-20,Denver,0
Mar-20,Denver,3464
Apr-20,Denver,48624
May-20,Denver,139608
Jun-20,Denver,192911
Jan-19,Washington DC,0
Feb-19,Washington DC,0
Mar-19,Washington DC,0
Apr-19,Washington DC,0
May-19,Washington DC,0
Jun-19,Washington DC,0
Jul-19,Washington DC,0
Aug-19,Washington DC,0
Sep-19,Washington DC,0
Oct-19,Washington DC,0
Nov-19,Washington DC,0
Dec-19,Washington DC,0
Jan-20,Washington DC,0
Feb-20,Washington DC,0
Mar-20,Washington DC,2923
Apr-20,Washington DC,70950
May-20,Washington DC,215106
Jun-20,Washington DC,291828
Jan-19,Los Angeles,0
Feb-19,Los Angeles,0
Mar-19,Los Angeles,0
Apr-19,Los Angeles,0
May-19,Los Angeles,0
Jun-19,Los Angeles,0
Jul-19,Los Angeles,0
Aug-19,Los Angeles,0
Sep-19,Los Angeles,0
Oct-19,Los Angeles,0
Nov-19,Los Angeles,0
Dec-19,Los Angeles,0
Jan-20,Los Angeles,6
Feb-20,Los Angeles,29
Mar-20,Los Angeles,16149
Apr-20,Los Angeles,362305
May-20,Los Angeles,1172311
Jun-20,Los Angeles,2295011
Jan-19,Philadelphia,0
Feb-19,Philadelphia,0
Mar-19,Philadelphia,0
Apr-19,Philadelphia,0
May-19,Philadelphia,0
Jun-19,Philadelphia,0
Jul-19,Philadelphia,0
Aug-19,Philadelphia,0
Sep-19,Philadelphia,0
Oct-19,Philadelphia,0
Nov-19,Philadelphia,0
Dec-19,Philadelphia,0
Jan-20,Philadelphia,0
Feb-20,Philadelphia,0
Mar-20,Philadelphia,5743
Apr-20,Philadelphia,235027
May-20,Philadelphia,599386
Jun-20,Philadelphia,734803
Jan-19,San Francisco,0
Feb-19,San Francisco,0
Mar-19,San Francisco,0
Apr-19,San Francisco,0
May-19,San Francisco,0
Jun-19,San Francisco,0
Jul-19,San Francisco,0
Aug-19,San Francisco,0
Sep-19,San Francisco,0
Oct-19,San Francisco,0
Nov-19,San Francisco,0
Dec-19,San Francisco,0
Jan-20,San Francisco,0
Feb-20,San Francisco,62
Mar-20,San Francisco,3096
Apr-20,San Francisco,29980
May-20,San Francisco,64550
Jun-20,San Francisco,90185
Jan-19,Seattle,0
Feb-19,Seattle,0
Mar-19,Seattle,0
Apr-19,Seattle,0
May-19,Seattle,0
Jun-19,Seattle,0
Jul-19,Seattle,0
Aug-19,Seattle,0
Sep-19,Seattle,0
Oct-19,Seattle,0
Nov-19,Seattle,0
Dec-19,Seattle,0
Jan-20,Seattle,0
Feb-20,Seattle,5
Mar-20,Seattle,23455
Apr-20,Seattle,138708
May-20,Seattle,228112
Jun-20,Seattle,269119
